College Code,College Name,Branch,Category,Percentile,Rank
1002,"Government College of Engineering, Amravati",Civil Engineering,GOPENS,88.5013511,34240
1002,"Government College of Engineering, Amravati",Civil Engineering,GSCS,77.8445199,62739
1002,"Government College of Engineering, Amravati",Civil Engineering,GSTS,65.8812284,91124
1002,"Government College of Engineering, Amravati",Civil Engineering,GVJS,81.2928705,54224
1002,"Government College of Engineering, Amravati",Civil Engineering,GNT1S,88.4426131,34281
1002,"Government College of Engineering, Amravati",Civil Engineering,GNT2S,85.7455441,41658
1002,"Government College of Engineering, Amravati",Civil Engineering,GNT3S,87.8945473,35923
1002,"Government College of Engineering, Amravati",Civil Engineering,GOBCS,85.3822102,42649
1002,"Government College of Engineering, Amravati",Civil Engineering,GSEBCS,75.3516004,69130
1002,"Government College of Engineering, Amravati",Civil Engineering,LOPENS,88.1228442,35071
1002,"Government College of Engineering, Amravati",Civil Engineering,LSCS,83.6393990,47557
1002,"Government College of Engineering, Amravati",Civil Engineering,LSTS,66.8505265,89332
1002,"Government College of Engineering, Amravati",Civil Engineering,LVJS,81.3738935,54046
1002,"Government College of Engineering, Amravati",Civil Engineering,LNT2S,70.8722936,80230
1002,"Government College of Engineering, Amravati",Civil Engineering,LOBCS,83.6467428,47396
1002,"Government College of Engineering, Amravati",Civil Engineering,LSEBCS,55.2318816,112136
1002,"Government College of Engineering, Amravati",Civil Engineering,PWDOPENS,53.7694785,115494
1002,"Government College of Engineering, Amravati",Civil Engineering,PWDOBCS,27.6622718,153595
1002,"Government College of Engineering, Amravati",Civil Engineering,DEFOPENS,67.0458361,88930
1002,"Government College of Engineering, Amravati",Civil Engineering,DEFOBCS,47.9842799,124882
1002,"Government College of Engineering, Amravati",Civil Engineering,TFWS,85.5352459,41891
1002,"Government College of Engineering, Amravati",Civil Engineering,PWDROBC,25.6482713,155782
1002,"Government College of Engineering, Amravati",Civil Engineering,DEFRSEBC,50.6340761,120638
1002,"Government College of Engineering, Amravati",Civil Engineering,EWSSS,66.1855163,90204
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GOPENS,97.3911937,7872
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GSCS,94.1713006,17571
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GSTS,80.5896708,56026
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GVJS,94.3331807,17052
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GNT1S,94.4433332,16746
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GNT2S,94.5541467,16443
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GOBCS,97.0436452,8931
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GSEBCS,94.6903844,15942
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LOPENS,96.9066937,9308
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LSCS,94.8376426,15485
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LSTS,84.2430574,45930
