College Code,College Name,Branch,Category,Percentile,Rank
1002,"Government College of Engineering, Amravati",Civil Engineering,GOPENS,88.9550679,37591
1002,"Government College of Engineering, Amravati",Civil Engineering,GSCS,82.3322294,58518
1002,"Government College of Engineering, Amravati",Civil Engineering,GSTS,69.4936445,94334
1002,"Government College of Engineering, Amravati",Civil Engineering,GVJS,86.9194446,44057
1002,"Government College of Engineering, Amravati",Civil Engineering,GNT1S,85.5729148,48422
1002,"Government College of Engineering, Amravati",Civil Engineering,GNT2S,87.6872170,41549
1002,"Government College of Engineering, Amravati",Civil Engineering,GNT3S,84.8736599,50563
1002,"Government College of Engineering, Amravati",Civil Engineering,GOBCS,86.9194446,44130
1002,"Government College of Engineering, Amravati",Civil Engineering,GSEBCS,81.1295102,62247
1002,"Government College of Engineering, Amravati",Civil Engineering,LOPENS,91.1459607,30071
1002,"Government College of Engineering, Amravati",Civil Engineering,LSCS,86.6223776,45170
1002,"Government College of Engineering, Amravati",Civil Engineering,LSTS,85.2215842,49208
1002,"Government College of Engineering, Amravati",Civil Engineering,LVJS,79.6986029,66707
1002,"Government College of Engineering, Amravati",Civil Engineering,LNT2S,81.1295102,62338
1002,"Government College of Engineering, Amravati",Civil Engineering,LOBCS,87.9159305,41127
1002,"Government College of Engineering, Amravati",Civil Engineering,LSEBCS,78.6137148,69477
1002,"Government College of Engineering, Amravati",Civil Engineering,PWDOPENS,53.6060165,131331
1002,"Government College of Engineering, Amravati",Civil Engineering,PWDOBCS,7.1701886,197856
1002,"Government College of Engineering, Amravati",Civil Engineering,DEFOPENS,85.8501253,47707
1002,"Government College of Engineering, Amravati",Civil Engineering,DEFOBCS,73.2612864,85223
1002,"Government College of Engineering, Amravati",Civil Engineering,TFWS,88.9773781,37350
1002,"Government College of Engineering, Amravati",Civil Engineering,PWDRSCS,4.5709952,200074
1002,"Government College of Engineering, Amravati",Civil Engineering,DEFROBCS,69.0979021,95765
1002,"Government College of Engineering, Amravati",Civil Engineering,ORPHAN,23.4132019,179315
1002,"Government College of Engineering, Amravati",Civil Engineering,EWS,71.4755245,90389
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GOPENS,97.3737374,9196
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GSCS,94.7837750,18016
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GSTS,85.9646097,46829
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GVJS,96.5118421,12192
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GNT1S,94.0716041,20440
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GNT2S,95.5372663,15590
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GOBCS,96.9659622,10583
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GSEBCS,95.2142111,16679
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LOPENS,97.5647615,8473
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LSCS,92.6752061,25163
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LSTS,89.5868952,35441
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LNT1S,95.4055944,15967
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LNT3S,92.3826851,26110
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LOBCS,96.8499656,10921
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LSEBCS,95.6055328,15326
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,PWDOPENS,84.5176078,51675
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,PWDOBCS,68.1164395,98826
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,DEFOPENS,91.0510720,30524
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,DEFOBCS,89.5128900,35641
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,TFWS,97.8664807,7401
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,PWDROBC,70.2033567,93506
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,DEFROBCS,88.0599617,40308
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,ORPHAN,82.1358690,59070
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,EWSS,96.0638523,13724
1002,"Government College of Engineering, Amravati",Information Technology,GOPENS,96.3316055,12891
1002,"Government College of Engineering, Amravati",Information Technology,GSCS,93.3597277,22881
1002,"Government College of Engineering, Amravati",Information Technology,GSTS,81.2846613,61474
1002,"Government College of Engineering, Amravati",Information Technology,GVJS,92.5745163,25469
1002,"Government College of Engineering, Amravati",Information Technology,GNT1S,92.9975430,24028
1002,"Government College of Engineering, Amravati",Information Technology,GNT2S,95.2407244,16590
1002,"Government College of Engineering, Amravati",Information Technology,GNT3S,94.7837750,18035
1002,"Government College of Engineering, Amravati",Information Technology,GOBCS,95.9539167,14193
1002,"Government College of Engineering, Amravati",Information Technology,GSEBCS,94.0956622,20387
1002,"Government College of Engineering, Amravati",Information Technology,LOPENS,96.5201084,12183
1002,"Government College of Engineering, Amravati",Information Technology,LSCS,91.6544074,28662
1002,"Government College of Engineering, Amravati",Information Technology,LSTS,79.9072027,65926
1002,"Government College of Engineering, Amravati",Information Technology,LNT2S,95.4505300,15745
1002,"Government College of Engineering, Amravati",Information Technology,LOBCS,96.1719670,13342
1002,"Government College of Engineering, Amravati",Information Technology,LSEBCS,95.0157683,17281
1002,"Government College of Engineering, Amravati",Information Technology,PWDOPENS,83.7239356,54426
1002,"Government College of Engineering, Amravati",Information Technology,PWDOBCS,71.6607627,88788
1002,"Government College of Engineering, Amravati",Information Technology,DEFOPENS,89.1476381,36897
1002,"Government College of Engineering, Amravati",Information Technology,DEFOBCS,86.6718198,45048
1002,"Government College of Engineering, Amravati",Information Technology,TFWS,96.5454743,12026
1002,"Government College of Engineering, Amravati",Information Technology,PWDRSCS,75.6538462,77323
1002,"Government College of Engineering, Amravati",Information Technology,DEFRNT3S,86.6718198,45117
1002,"Government College of Engineering, Amravati",Information Technology,ORPHAN,79.6033896,67452
1002,"Government College of Engineering, Amravati",Information Technology,EWS,93.4192837,22723
1002,"Government College of Engineering, Amravati",Electrical Engineering,GOPENS,91.7521019,28037
1002,"Government College of Engineering, Amravati",Electrical Engineering,GSCS,86.3869833,45807
1002,"Government College of Engineering, Amravati",Electrical Engineering,GSTS,74.6802716,81211
1002,"Government College of Engineering, Amravati",Electrical Engineering,GVJS,83.7674516,54199
1002,"Government College of Engineering, Amravati",Electrical Engineering,GNT1S,90.1610143,33361
1002,"Government College of Engineering, Amravati",Electrical Engineering,GNT2S,83.2103258,55530
1002,"Government College of Engineering, Amravati",Electrical Engineering,GNT3S,86.6223776,45231
1002,"Government College of Engineering, Amravati",Electrical Engineering,GOBCS,91.3593874,29365
1002,"Government College of Engineering, Amravati",Electrical Engineering,GSEBCS,85.0571556,50107
1002,"Government College of Engineering, Amravati",Electrical Engineering,LOPENS,92.1231015,26875
1002,"Government College of Engineering, Amravati",Electrical Engineering,LSCS,87.7785554,41351
1002,"Government College of Engineering, Amravati",Electrical Engineering,LSTS,71.5562808,89472
1002,"Government College of Engineering, Amravati",Electrical Engineering,LVJS,80.9669596,63174
1002,"Government College of Engineering, Amravati",Electrical Engineering,LNT1S,88.7700729,37913
1002,"Government College of Engineering, Amravati",Electrical Engineering,LOBCS,91.0820780,30147
1002,"Government College of Engineering, Amravati",Electrical Engineering,LSEBCS,83.5597353,54480
1002,"Government College of Engineering, Amravati",Electrical Engineering,PWDOPENS,68.4887011,97352
1002,"Government College of Engineering, Amravati",Electrical Engineering,PWDOBCS,53.6060165,131185
1002,"Government College of Engineering, Amravati",Electrical Engineering,DEFOPENS,82.8811189,56683
1002,"Government College of Engineering, Amravati",Electrical Engineering,DEFOBCS,73.5570613,84091
1002,"Government College of Engineering, Amravati",Electrical Engineering,TFWS,90.6536517,31810
1002,"Government College of Engineering, Amravati",Electrical Engineering,PWDRSCS,67.8210479,99969
1002,"Government College of Engineering, Amravati",Electrical Engineering,DEFROBCS,80.3531469,64751
1002,"Government College of Engineering, Amravati",Electrical Engineering,EWS,82.2162613,58738
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GOPENS,95.0636221,17151
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GSCS,89.1962092,36725
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GSTS,60.4221150,116393
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GVJS,88.9550679,37532
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GNT1S,90.8833776,31138
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GNT2S,94.8202997,17913
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GOBCS,94.5862876,18719
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GSEBCS,91.0510720,30507
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LOPENS,94.7159159,18397
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LSCS,88.7823852,37791
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LSTS,77.9513058,72278
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LVJS,89.6700597,35169
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LNT2S,90.6332693,32000
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LNT3S,87.7785554,41415
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LOBCS,94.5372821,18895
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LSEBCS,91.2776413,29991
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,PWDOPENS,43.6588740,149070
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,PWDOBCS,21.3037657,182725
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,DEFOPENS,87.9289094,40691
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,DEFOBCS,82.1358690,58925
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,TFWS,94.5372821,18894
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,PWDROBC,32.6791073,165828
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,DEFRSEBC,84.3296195,52275
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,ORPHAN,37.1950556,159747
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWSSS,89.5355262,35492
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GOPENS,8.3381964,196674
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GSCS,80.3531469,64794
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GSTS,14.3147873,190208
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GVJS,75.6075065,78201
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GNT2S,82.8437868,56802
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GNT3S,84.6429815,51152
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GOBCS,84.9728618,50313
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GSEBCS,79.9809712,65579
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,LOPENS,87.9235179,40999
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,LSCS,79.8919296,66067
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,LSTS,72.3760958,87240
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,LNT1S,87.4115391,42330
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,LOBCS,82.3322294,58460
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,LSEBCS,67.8236662,99619
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,DEFOPENS,88.6801020,38374
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,TFWS,65.5190641,105120
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GOPENS,89.8617670,34406
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GSCS,84.0359888,53314
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GSTS,51.5716400,134704
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GVJS,77.1618860,73509
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GNT1S,85.1919561,49466
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GNT2S,89.6391842,35304
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GNT3S,87.0316109,43753
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GOBCS,88.7615737,38117
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GSEBCS,81.6453226,60529
1002,"Government College of Engineering, Amravati",Mechanical Engineering,LOPENS,87.1376478,43339
1002,"Government College of Engineering, Amravati",Mechanical Engineering,LSCS,81.7705077,60393
1002,"Government College of Engineering, Amravati",Mechanical Engineering,LSTS,56.5039753,125170
1002,"Government College of Engineering, Amravati",Mechanical Engineering,LNT2S,77.2287062,73011
1002,"Government College of Engineering, Amravati",Mechanical Engineering,LOBCS,85.1919561,49484
1002,"Government College of Engineering, Amravati",Mechanical Engineering,LSEBCS,73.6328536,83614
1002,"Government College of Engineering, Amravati",Mechanical Engineering,PWDOPENS,16.4425946,188072
1002,"Government College of Engineering, Amravati",Mechanical Engineering,DEFOPENS,84.4950314,51875
1002,"Government College of Engineering, Amravati",Mechanical Engineering,DEFOBCS,41.7471281,152603
1002,"Government College of Engineering, Amravati",Mechanical Engineering,TFWS,89.2945239,36139
1002,"Government College of Engineering, Amravati",Mechanical Engineering,DEFRSEBC,57.0133407,123660
1002,"Government College of Engineering, Amravati",Mechanical Engineering,EWSS,76.7694659,75700
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GOPENH,93.6155480,23654
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GSCH,89.7377897,37414
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GNT2H,86.8241565,47495
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GOBCH,93.4485531,24342
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,LOPENH,97.6779266,8634
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,LOBCH,93.1151448,25406
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GSTH,85.0232092,53836
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GOPENO,98.6379064,4917
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GSCO,89.0432875,39936
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GVJO,75.8886529,82501
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GNT1O,86.9908896,46985
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GSEBCO,80.5600214,68655
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,LOPENO,92.4619674,27666
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,EWS,77.0149774,79514
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GOPENH,25.4741362,176548
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GVJH,20.2849168,183458
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GOBCH,52.8806012,132477
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GSEBCH,10.7725189,194449
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,LOPENH,51.7009371,134313
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GSCH,29.4125763,171006
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GOPENO,63.2000580,110594
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GOBCO,58.4401523,120840
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,TFWS,59.1762367,119043
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,EWS,13.3124347,191349
1005,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,GOPENH,17.2365618,187138
1005,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,LOPENH,25.2088452,177217
1005,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,GSCH,1.0874687,203034
1005,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,GOBCH,31.9226076,169379
1005,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,GOPENO,19.4484962,184089
1005,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,LOPENO,24.6987745,178715
