College Code,College Name,Branch,Category,Percentile,Rank
1002,"Government College of Engineering, Amravati",Civil Engineering,GOPENS,91.7377622,28216
1002,"Government College of Engineering, Amravati",Civil Engineering,GNT2S,83.2058578,55787
1002,"Government College of Engineering, Amravati",Civil Engineering,GOBCS,86.6751751,44981
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,DEFOPENS,91.7968608,27996
1002,"Government College of Engineering, Amravati",Information Technology,GOPENS,96.1512986,13465
1002,"Government College of Engineering, Amravati",Information Technology,GNT2S,92.8770798,24489
1002,"Government College of Engineering, Amravati",Information Technology,LOPENS,95.6356670,15196
1002,"Government College of Engineering, Amravati",Information Technology,EWS,92.5540912,25512
1002,"Government College of Engineering, Amravati",Electrical Engineering,GOPENS,92.5218400,25688
1002,"Government College of Engineering, Amravati",Electrical Engineering,GOBCS,91.7513251,28160
1002,"Government College of Engineering, Amravati",Electrical Engineering,GSEBCS,85.0571556,50107
1002,"Government College of Engineering, Amravati",Electrical Engineering,LOBCS,93.7361801,21656
1002,"Government College of Engineering, Amravati",Electrical Engineering,EWS,81.0133535,62811
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GOPENS,95.8324651,14458
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GSCS,89.8231024,34764
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GVJS,82.4521073,57875
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GSEBCS,90.0175917,34019
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LOPENS,95.3847746,16085
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,DEFRSEBC S,61.6834321,113654
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,90.0917161,33700
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GOPENS,90.6688280,31618
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GVJS,60.9090909,114704
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GOBCS,89.8617670,34378
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,DEFOPENS,26.7336064,174647
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,EWS,79.6033896,67532
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,PWDOPENS,89.5868952,35412
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GOPENS,89.8231024,34696
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GNT3S,82.8372770,57142
1002,"Government College of Engineering, Amravati",Mechanical Engineering,LOPENS,89.6827150,35067
1002,"Government College of Engineering, Amravati",Mechanical Engineering,TFWS,87.3029561,43009
1002,"Government College of Engineering, Amravati",Mechanical Engineering,LSTS,51.5716400,134539
1002,"Government College of Engineering, Amravati",Mechanical Engineering,DEFOPENS,88.2544975,39556
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GOBCH,76.7694659,80909
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,LOBCH,82.2763176,62939
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GSCO,89.5766345,38096
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,LOPENO,88.3220112,42343
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GSEBCO,87.3714390,45570
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GOPENH,43.0314730,150631
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,LOPENH,33.0802795,165438
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GSEBCH,29.2375397,171133
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GVJH,66.1695365,103454
1005,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,LOPENH,22.8214173,180133
1005,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,LOBCH,7.9877752,196887
1005,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,GOPENO,33.4650350,165129
1005,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,LOPENH,62.0615406,112652
1005,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,LSCH,32.3446384,167133
1005,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,GSEBCH,49.7291102,138091
1005,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,GSCH,43.7443400,148516
1005,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,GOBCO,52.3622324,133438
1005,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,TFWS,66.4263323,101966
1012,"Government College of Engineering,Yavatmal",Civil Engineering,GOPENH,59.9607019,117854
1012,"Government College of Engineering,Yavatmal",Civil Engineering,GSCH,57.5410529,122678
1012,"Government College of Engineering,Yavatmal",Civil Engineering,GOBCH,57.4017459,123239
1012,"Government College of Engineering,Yavatmal",Civil Engineering,LOBCH,49.6043895,138703
1012,"Government College of Engineering,Yavatmal",Civil Engineering,PWDOPENH,60.4221150,116738
1012,"Government College of Engineering,Yavatmal",Civil Engineering,GSEBCH,50.5909012,136999
1012,"Government College of Engineering,Yavatmal",Civil Engineering,GOPENO,73.2612864,85414
1012,"Government College of Engineering,Yavatmal",Civil Engineering,GSCO,57.8195751,121797
1012,"Government College of Engineering,Yavatmal",Civil Engineering,GNT2O,36.1161649,161009
1012,"Government College of Engineering,Yavatmal",Civil Engineering,GOBCO,70.6189283,91965
1012,"Government College of Engineering,Yavatmal",Civil Engineering,GSEBCO,53.6771201,130986
1012,"Government College of Engineering,Yavatmal",Civil Engineering,LSTO,52.8806012,132654
1012,"Government College of Engineering,Yavatmal",Civil Engineering,TFWS,69.8941051,93671
1012,"Government College of Engineering,Yavatmal",Civil Engineering,EWS,4.3158445,200442
1012,"Government College of Engineering,Yavatmal",Computer Engineering,GOPENH,83.2103258,55537
1012,"Government College of Engineering,Yavatmal",Computer Engineering,GNT1H,74.9785452,80948
1012,"Government College of Engineering,Yavatmal",Computer Engineering,GNT2H,80.6021790,63986
1012,"Government College of Engineering,Yavatmal",Computer Engineering,GOBCH,81.1324174,62065
1012,"Government College of Engineering,Yavatmal",Computer Engineering,LOPENH,84.8736599,50678
1012,"Government College of Engineering,Yavatmal",Computer Engineering,LOBCH,78.6167398,69223
1012,"Government College of Engineering,Yavatmal",Computer Engineering,GOPENO,88.6328671,38496
1012,"Government College of Engineering,Yavatmal",Computer Engineering,GSCO,82.3322294,58613
1012,"Government College of Engineering,Yavatmal",Computer Engineering,GSEBCO,78.6729363,68976
1012,"Government College of Engineering,Yavatmal",Computer Engineering,LOPENO,89.4914664,35701
1012,"Government College of Engineering,Yavatmal",Computer Engineering,LNT2O,26.6274079,174910
1012,"Government College of Engineering,Yavatmal",Computer Engineering,LOBCO,73.8000589,82664
1012,"Government College of Engineering,Yavatmal",Computer Engineering,TFWS,85.9011570,47387
1012,"Government College of Engineering,Yavatmal",Computer Engineering,EWS,69.4561708,94939
1012,"Government College of Engineering,Yavatmal",Computer Engineering,ORPHAN,84.8736599,50611
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,GOPENH,75.2107280,79691
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,GSCH,54.5872518,128342
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,GSTH,6.9235509,198152
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,GOBCH,69.8941051,93669
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,LOPENH,60.3213757,117188
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,PWDOPENH,67.8210479,99785
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,GSEBCH,64.3453843,107450
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,GOPENO,81.1324174,62090
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,GVJO,55.6405756,126416
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,GNT2O,63.4714222,109550
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,GOBCO,70.7504568,91299
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,GSEBCO,58.4401523,120657
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,LNT1O,26.6274079,174943
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,DEFOPENS,81.6453226,60656
1012,"Government College of Engineering,Yavatmal",Electrical Engineering,DEFOBCS,70.6189283,91913
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,GOPENH,74.5404987,81515
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,GSCH,55.6405756,126316
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,GOBCH,73.2612864,85094
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,LOPENH,70.5005064,92811
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,LSCH,61.7969670,113195
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,LOBCH,67.8236662,99505
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,LSTH,71.8197195,88273
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,GSEBCH,72.8948543,85978
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,GOPENO,82.4521073,57864
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,GSCO,69.4936445,94277
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,LOPENO,75.1620214,80587
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,LSEBCO,65.6692751,104578
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,TFWS,72.6730266,86633
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,EWS,25.4595013,176793
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,DEFOPENS,80.3575863,64532
1012,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,ORPHAN,79.6033896,67372
1012,"Government College of Engineering,Yavatmal",Mechanical Engineering,GOPENH,63.8244514,108187
1012,"Government College of Engineering,Yavatmal",Mechanical Engineering,GSCH,45.3566434,146804
1012,"Government College of Engineering,Yavatmal",Mechanical Engineering,GOBCH,61.7969670,113223
1012,"Government College of Engineering,Yavatmal",Mechanical Engineering,LOPENH,51.7009371,134443
1012,"Government College of Engineering,Yavatmal",Mechanical Engineering,GSEBCH,51.5716400,134709
1012,"Government College of Engineering,Yavatmal",Mechanical Engineering,GOPENO,70.2628092,92903
1012,"Government College of Engineering,Yavatmal",Mechanical Engineering,GSCO,60.3213757,117084
1012,"Government College of Engineering,Yavatmal",Mechanical Engineering,GSEBCO,50.9683037,135680
1012,"Government College of Engineering,Yavatmal",Mechanical Engineering,LOPENO,66.9498069,100960
1012,"Government College of Engineering,Yavatmal",Mechanical Engineering,LSCO,47.3563218,142596
1012,"Government College of Engineering,Yavatmal",Mechanical Engineering,EWS,1.0219184,203088
1012,"Government College of Engineering,Yavatmal",Mechanical Engineering,ORPHAN,66.4263323,101793
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,GOPENH,92.9975430,24012
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,GOBCH,92.7805181,24856
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,GSEBCH,88.2484746,39710
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,LOPENH,94.7424061,18245
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,GOPENO,91.3593874,29437
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,GSTO,35.1590106,164078
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,ORPHAN,93.1848615,23460
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,GOPENH,92.1378092,26821
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,GOBCH,92.0400779,27324
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,GSEBCH,79.3004726,68101
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,PWDOBCH,29.5314685,170545
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,GSEBCO,79.7185003,66693
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,ORPHAN,92.1231015,26884
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],GOPENO,84.3018999,52401
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],DEFOBCS,87.6831328,41707
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,GOPENH,90.2494890,33121
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,GSCH,85.9775360,46641
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,GSTH,47.8015007,141661
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,GOBCH,89.8617670,34451
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,LOPENH,91.0675835,30480
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,GOPENO,90.0175917,33998
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,GOBCO,86.9651776,43907
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,LNT1O,61.6834321,113763
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,DEFSEBCS,78.1688442,71844
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,GOPENH,85.9058498,47217
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,GSEBCH,33.0802795,165348
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,LSEBCH,49.4020979,138908
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,PWDOPENH,86.3869833,45849
